Name,2,1,0,TBF/GS
Aaron Nola,0.269,0.298,0.286,17.53
Adam Wainwright,0.205,0.21,0.19,17.90
Adrian Houser,0.253,0.175,0.177,15.11
Alex Wood,0.212,0.26,0.252,15.58
Aníbal Sanchez,0.244,0.188,0.22,12.13
Anthony DeSclafani,0.24,0.225,0.22,15.58
Antonio Senzatela,0.131,0.157,0.172,16.26
Blake Snell,0.333,0.309,0.3,14.65
Brandon Woodruff,0.29,0.298,0.293,17.32
Cal Quantrill,0.201,0.196,0.197,16.55
Carlos Carrasco,0.283,0.295,0.251,15.81
Carlos Rodon,0.176,0.346,0.301,15.93
Charlie Morton,0.304,0.286,0.271,16.55
Chase Anderson,0.199,0.209,0.181,15.00
Chris Archer,0.254,0.272,0.24,13.30
Chris Bassitt,0.23,0.25,0.233,16.35
Chris Paddack,0.269,0.216,0.239,15.95
Chris Sale,0.384,0.356,0.305,15.63
Clayton Kershaw,0.268,0.295,0.276,16.96
Corbin Burnes,0.367,0.356,0.321,17.76
Corey Kluber,0.341,0.264,0.235,15.58
Dallas Keuchel,0.187,0.132,0.163,16.39
Dylan Bundy,0.245,0.231,0.231,15.00
Dylan Cease,0.173,0.319,0.295,15.29
Eduardo Rodriguez,0.248,0.274,0.253,16.69
Frankie Montas,0.253,0.266,0.262,16.97
German Marquez,0.243,0.233,0.237,17.53
Gerrit Cole,0.399,0.335,0.339,18.47
Hyun Jin Ryu,0.225,0.204,0.202,16.86
J.A. Happ,0.206,0.182,0.178,15.71
Jack Flaherty,0.296,0.299,0.278,15.26
Jacob deGrom,0.322,0.317,0.362,18.16
Jake Arrieta,0.191,0.185,0.173,15.00
Jake Odorizzi,0.271,0.206,0.229,13.75
James Paxton,0.322,0.294,0.253,15.00
Jameson Taillon,0.228,0.232,0.23,14.89
Joe Musgrove,0.219,0.271,0.269,16.94
John Means,0.19,0.227,0.215,16.45
Johnny Cueto,0.21,0.2,0.183,16.31
Jon Gray,0.235,0.244,0.245,15.39
Jordan Lyles,0.244,0.19,0.19,16.61
Jordan Montgomery,0.222,0.245,0.249,15.72
Jose Berrios,0.232,0.261,0.248,18.19
Jose Quintana,0.214,0.204,0.22,15.46
Julio Teheran,0.224,0.215,0.204,15.00
Julio Urias,0.201,0.262,0.251,16.61
Justin Verlander,0.348,0.354,0.311,19.14
Kevin Gausman,0.253,0.293,0.261,17.25
Kyle Freeland,0.167,0.204,0.179,15.93
Kyle Gibson,0.227,0.206,0.201,17.34
Kyle Hendricks,0.205,0.167,0.179,16.84
Lance Lynn,0.281,0.275,0.249,16.83
Lance McCullers Jr.,0.269,0.27,0.263,16.40
Lucas Giolito,0.323,0.279,0.304,17.63
Luis Castillo,0.289,0.239,0.255,17.59
Madison Bumgarner,0.241,0.202,0.198,16.45
Marcus Stroman,0.205,0.216,0.205,16.69
Martin Perez,0.183,0.191,0.17,14.54
Max Fried,0.246,0.237,0.235,17.42
Max Scherzer,0.351,0.341,0.34,18.00
Merrill Kelly,0.203,0.195,0.187,17.69
Michael Pineda,0.233,0.192,0.193,15.35
Mike Fiers,0.195,0.167,0.161,16.38
Mike Foltynewicz,0.214,0.166,0.18,15.60
Mike Minor,0.232,0.223,0.229,16.61
Nathan Eovaldi,0.222,0.255,0.255,16.84
Nick Pivetta,0.271,0.265,0.236,15.52
Noah Syndergaard,0.241,0.245,0.226,17.14
Pablo Lopez,0.203,0.275,0.24,14.79
Patrick Corbin,0.285,0.19,0.224,17.59
Robbie Ray,0.315,0.321,0.321,18.09
Ryan Yarbrough,0.208,0.179,0.188,22.75
Sandy Alcantara,0.18,0.24,0.24,18.47
Sean Manaea,0.165,0.257,0.24,16.65
Shane Bieber,0.243,0.302,0.317,18.00
Sonny Gray,0.29,0.27,0.247,15.83
Stephen Strasburg,0.287,0.298,0.267,17.09
Steven Matz,0.221,0.223,0.209,15.52
Taijuan Walker,0.213,0.223,0.224,15.69
Tanner Roark,0.192,0.219,0.197,15.60
Trevor Bauer,0.278,0.317,0.293,18.00
Trevor Cahill,0.222,0.178,0.189,15.00
Tyler Mahle,0.232,0.277,0.261,15.58
Wade Miley,0.194,0.181,0.173,16.75
Walker Buehler,0.292,0.26,0.267,18.00
Yu Darvish,0.313,0.292,0.271,16.76
Yusei Kikuchi,0.161,0.245,0.218,15.54
Zach Davies,0.152,0.171,0.164,14.31
Zach Eflin,0.183,0.224,0.21,16.50
Zack Greinke,0.231,0.172,0.179,17.17
Zack Wheeler,0.236,0.291,0.254,19.06
